experiment_name,json_path,num_groups,num_latencies,asr_word_latency_cla_mean_s,asr_word_latency_cla_median_s
asr_keyterms_off,experiments/20260903_asr_keyterms_off.json,64,63,4.074521975961783,3.918002599999973
asr_keyterms_off2,experiments/20260903_asr_keyterms_off2.json,64,63,4.090394991834799,3.918002599999973
asr_keyterms_off3,experiments/20260903_asr_keyterms_off3.json,53,52,3.956247403274204,3.8741278499999794
asr_keyterms_on,experiments/20260903_asr_keyterms_on.json,35,35,4.0440336213863874,3.918002599999973
asr_keyterms_on2,experiments/20260903_asr_keyterms_on2.json,10,10,3.55428211358641,3.7345882857142705
asr_keyterms_on3,experiments/20260903_asr_keyterms_on3.json,53,52,3.9274012494280504,3.8741278499999794
chunk_latency_sweep2_1200ms,experiments/20260903_chunk_latency_sweep2_1200ms.json,22,21,4.103989528233312,3.8874000000000137
chunk_latency_sweep2_1500ms,experiments/20260903_chunk_latency_sweep2_1500ms.json,22,21,4.103989528233312,3.8874000000000137
chunk_latency_sweep2_2000ms,experiments/20260903_chunk_latency_sweep2_2000ms.json,22,21,4.103989528233312,3.8874000000000137
chunk_latency_sweep2_300ms,experiments/20260903_chunk_latency_sweep2_300ms.json,21,20,4.06910439872867,3.903380518181816
chunk_latency_sweep2_500ms,experiments/20260903_chunk_latency_sweep2_500ms.json,22,21,4.103989528233312,3.8874000000000137
chunk_latency_sweep2_800ms,experiments/20260903_chunk_latency_sweep2_800ms.json,22,21,4.103989528233312,3.8874000000000137
chunk_latency_sweep_1200ms,experiments/20260903_chunk_latency_sweep_1200ms.json,22,21,4.103989528233312,3.8874000000000137
chunk_latency_sweep_1500ms,experiments/20260903_chunk_latency_sweep_1500ms.json,22,21,4.103989528233312,3.8874000000000137
chunk_latency_sweep_2000ms,experiments/20260903_chunk_latency_sweep_2000ms.json,22,21,4.103989528233312,3.8874000000000137
chunk_latency_sweep_300ms,experiments/20260903_chunk_latency_sweep_300ms.json,21,20,4.06910439872867,3.903380518181816
chunk_latency_sweep_500ms,experiments/20260903_chunk_latency_sweep_500ms.json,22,21,4.103989528233312,3.8874000000000137
chunk_latency_sweep_800ms,experiments/20260903_chunk_latency_sweep_800ms.json,22,21,4.103989528233312,3.8874000000000137
smoketest,experiments/20260903_smoketest.json,4,4,3.5830122096154065,3.527680869230778
