experiment_name,json_path,deepgram_endpointing,deepgram_max_interim_duration,num_batches,num_genuine_final,num_soft_finalized,num_ambiguous,pct_soft_finalized,genuine_final_duration_mean,genuine_final_duration_median,soft_finalized_duration_mean,soft_finalized_duration_median
youtube_10m_to_20m,experiments/20260401_youtube_10m_to_20m.json,500,,0,0,0,0,,,,,
ep_sweep_1200ms,experiments/20260415_ep_sweep_1200ms.json,1200,,0,0,0,0,,,,,
ep_sweep_1500ms,experiments/20260415_ep_sweep_1500ms.json,1500,,0,0,0,0,,,,,
ep_sweep_300ms,experiments/20260415_ep_sweep_300ms.json,300,,0,0,0,0,,,,,
ep_sweep_500ms,experiments/20260415_ep_sweep_500ms.json,500,,0,0,0,0,,,,,
ep_sweep_800ms,experiments/20260415_ep_sweep_800ms.json,800,,0,0,0,0,,,,,
youtube_10m_to_12m_new_prompt,experiments/20260415_youtube_10m_to_12m_new_prompt.json,800,,0,0,0,0,,,,,
youtube_10m_to_12m,experiments/20260415ver0_youtube_10m_to_12m.json,800,,0,0,0,0,,,,,
youtube_10m_to_12m_fixed,experiments/20260415ver1_youtube_10m_to_12m_fixed.json,800,,0,0,0,0,,,,,
baseline_after_streaming_fix,experiments/20260722_baseline_after_streaming_fix.json,500,,7,7,0,0,0.0,3.8000000428571425,3.7399997999999997,,
baseline_with_soft_finalize,experiments/20260722_baseline_with_soft_finalize.json,500,4.0,7,7,0,0,0.0,3.555714314285715,4.170000000000001,,
en_talk_transition_accuracy_check,experiments/20260722_en_talk_transition_accuracy_check.json,300,2.5,2,2,0,0,0.0,2.01,2.01,,
en_talk_transition_accuracy_check_v2,experiments/20260722_en_talk_transition_accuracy_check_v2.json,300,2.5,34,34,0,0,0.0,2.5997062029411757,2.869998950000003,,
soft_finalize_timeout_flashlite,experiments/20260722_soft_finalize_timeout_flashlite.json,500,4.0,11,11,0,0,0.0,3.563636363636364,3.600000999999999,,
tuned_2_5s_window,experiments/20260722_tuned_2_5s_window.json,300,2.5,5,5,0,0,0.0,2.8920000000000003,3.1000010000000007,,
en_talk_7m20_8m50,experiments/20260723_en_talk_7m20_8m50.json,300,2.5,3,3,0,0,0.0,2.5766655666666676,2.25,,
en_talk_7m20_8m50_v2,experiments/20260723_en_talk_7m20_8m50_v2.json,300,2.5,31,31,0,0,0.0,2.8325808193548387,3.0099982999999995,,
calibration_baseline_no_packs,experiments/20260724_calibration_baseline_no_packs.json,300,2.5,42,42,0,0,0.0,2.773333280952381,3.175,,
calibration_check,experiments/20260724_calibration_check.json,300,2.5,51,51,0,0,0.0,2.41921562745098,3.0,,
calibration_check2,experiments/20260724_calibration_check2.json,300,2.5,42,42,0,0,0.0,2.549523985714285,3.0049972500000024,,
calibration_drift_fix,experiments/20260724_calibration_drift_fix.json,300,2.5,40,40,0,0,0.0,2.6660002525,3.110001500000002,,
calibration_rpm60,experiments/20260724_calibration_rpm60.json,300,2.5,43,43,0,0,0.0,2.8209301976744188,3.18,,
20260724_dictionary_comparison_report,experiments/20260724_dictionary_comparison_report.json,,,0,0,0,0,,,,,
llm2024_8_part1_full,experiments/20260724_llm2024_8_part1_full.json,300,2.5,1811,1811,0,0,0.0,2.6122204989177207,3.010009799999807,,
llm2024_8_part1_full_baseline_no_dict,experiments/20260724_llm2024_8_part1_full_baseline_no_dict.json,300,2.5,1810,1810,0,0,0.0,2.6125420116243054,3.0100098000000344,,
post_dedup_fix_check,experiments/20260731_post_dedup_fix_check.json,300,2.5,43,43,0,0,0.0,2.8139533837209303,3.18,,
hardest_5min_gemini35flashlite,experiments/20260806_hardest_5min_gemini35flashlite.json,300,2.5,119,66,53,0,44.537815126050425,1.948030920303029,1.6550007000000058,3.4537742,3.3800050000000113
hardest_5min_gpt54nano,experiments/20260806_hardest_5min_gpt54nano.json,300,2.5,120,120,0,0,0.0,2.590545506166667,3.0146331999999916,,
asr_keyterms_off,experiments/20260903_asr_keyterms_off.json,500,2.5,42,20,22,0,52.38095238095239,6.057498105,7.285001000000008,5.980000459090908,4.360001100000002
asr_keyterms_off2,experiments/20260903_asr_keyterms_off2.json,500,2.5,87,33,54,0,62.06896551724138,2.0596955606060616,1.1900024000000258,4.032408668518518,4.059997600000003
asr_keyterms_off3,experiments/20260903_asr_keyterms_off3.json,500,2.5,71,28,43,0,60.56338028169014,2.0917848285714293,1.1399993500000107,4.015814658139535,4.059997600000003
asr_keyterms_on,experiments/20260903_asr_keyterms_on.json,500,2.5,30,13,17,0,56.666666666666664,4.8846154076923085,4.97,5.160588094117647,4.119999999999999
asr_keyterms_on2,experiments/20260903_asr_keyterms_on2.json,500,2.5,13,7,6,0,46.15384615384615,3.0100001285714293,3.8899994000000007,3.781666450000001,4.019999499999999
asr_keyterms_on3,experiments/20260903_asr_keyterms_on3.json,500,2.5,73,29,44,0,60.273972602739725,1.9062061448275869,0.9399870000000021,3.9745460749999997,4.055000300000003
chunk_latency_sweep2_1200ms,experiments/20260903_chunk_latency_sweep2_1200ms.json,1200,2.5,35,13,22,0,62.857142857142854,1.6507695307692294,1.4799956999999893,3.2036360136363644,3.0849991000000045
chunk_latency_sweep2_1500ms,experiments/20260903_chunk_latency_sweep2_1500ms.json,1500,2.5,35,13,22,0,62.857142857142854,1.6507695307692294,1.4799956999999893,3.23090900909091,3.0849991000000045
chunk_latency_sweep2_2000ms,experiments/20260903_chunk_latency_sweep2_2000ms.json,2000,2.5,35,13,22,0,62.857142857142854,1.6507695307692294,1.4799956999999893,3.2490905500000014,3.0849991000000045
chunk_latency_sweep2_300ms,experiments/20260903_chunk_latency_sweep2_300ms.json,300,2.5,37,16,21,0,56.75675675675676,1.5956243687499987,1.5649985499999914,3.1900003666666676,3.1100006000000064
chunk_latency_sweep2_500ms,experiments/20260903_chunk_latency_sweep2_500ms.json,500,2.5,34,12,22,0,64.70588235294117,1.710000124999998,1.5249986499999952,3.339999640909092,3.150000150000001
